0,1.1,1.3,1.4,1.4,1.6,1.7,1.9,2,2.2,2.3,2.5,2.9,3.1,3.6,3.7,4.2,4.3,4.3,4.6,4.9,5.5,6,6.5,6.8,6.8,6.9,7,7.1,7.1,7.4,7.5,7.6,7.7,8.1,8.3,8.7,9.4,10.2,12.2,12.5,13.1,13.7,14.3,14.5,14.8,14.9,15.2,15.5,15.5,16.6,17.1,17.3,17.6,17.9,18,18.3,19.1,19.4,19.7,20,20.4,20.6,21.4,21.8,21.9,21.9,23.8,23.9,24.1,25.1,27.5,27.9,28.9,31.5,31.7,32.2,34.1,35.4,36.4,37.6,38.1,41.3,42.4,44.1,45.8,47.5,50.8,52.9,54.4,59.8,62.9,75.3,78.2,94,106.3,127.7,133,140,200.5
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.6,0.6,0.7,0.8,0.9,1,1,1,1,1.2,1.2,1.2,1.2,1.2,1.5,1.6,1.6,1.7,1.9,1.9,2,2.1,2.1,2.1,2.3,2.4,2.4,2.5,2.5,2.6,2.7,2.8,2.9,3,3.4,3.7,3.9,4,4.1,4.5,4.9,5,5.2,5.7,6.4,6.6,6.7,6.8,7.2,7.7,7.7,8.5,8.6,8.9,9,10.1,10.3,10.9,11,11,11.3,11.3,12.1,12.9,13.1,13.5,13.7,14.5,15,16.4,16.6,17.3,17.9,18.1,18.6,18.8,19,19.8,19.8,23.3,23.9,23.9,24.5,26,27,28.8,32.5,34.9,47.9,54.3,55.4,59.3
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.2,1.4,1.8,2,4.8,5.3,6.1,6.8,7.3,7.6,8,9,11.6,11.7,13.2,14.1,16.2,16.9,18.3,20.5,25.3,25.5,27,29.5,31.7,32.9,37.9,38.6,46.2,50.7,50.8,54.5,55.2,56.1,56.6,57.8,58.3,59.9,61.5,62.4,62.6,64.7,68.3,71.3,72.8,77.2,79.5,79.8,80,82.6,92.8,94.8,96.3,101.4,104.4,108.6,110.8,112.3,113.2,116.1,118,127.3,135.3,136.1,175.8,176,182.5,186,209.6,215.1,217.1,217.6,221.8,239.3,246.3,260.9,301.1,320.1,361.8,375.6,398,473.6,544.4,572.5
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1.5,2.4,2.9,3.5,4.1,4.8,5,5.2,5.2,5.6,6,6.1,6.6,7.1,7.7,7.7,7.7,8.6,10.2,10.3,11.2,11.4,11.5,11.5,11.6,11.8,13.2,13.8,13.9,13.9,14.6,15.5,17.3,17.4,18.2,19.3,19.4,19.6,19.7,20,20.6,20.8,21.2,22.6,22.8,24.1,24.2,24.2,24.4,24.7,25.1,25.6,26.1,26.2,26.2,28.6,29.3,29.3,29.4,30.2,31,32.6,33.3,33.9,36.8,38.3,38.9,39.7,40,40.8,41.7,42,42.9,43.1,43.8,45.7,46.4,46.5,47,47.5,49.1,50.5,51.2,51.7,52.6,57.5,58.6,59.7,61.4,61.4,61.8,62.8,71.2,73.3,75.2,75.7,95.9,98.5,210.9,575.7
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2.2,4.4,13.4,15.6,27.4,27.8,43.4,44.8,56.4,56.8,59.4,70.8,90,90.9,94.3,98.6,108.9,109.4,111.1,119.6,119.7,124.9,127.4,130.8,148.4,157.1,183.7,207.9,215.2,215.4,227.8,228.4,232.4,239.6,240.1,246.7,258.2,260.9,272.5,290.7,300.4,310.2,319.2,325.1,339.3,360.1,363.9,368.6,371.7,380.2,385.5,399.7,435.1,459.6,485.3,503.4,510.4,535.3,542.6,553.6,554.7,565,567.6,568.2,584.4,597.1,611,646.7,651.9,658.7,686.9,691.3,715.5,727.6,727.6,735.3,740.1,741.3,768,773.9,776.3,903.7,984.9,1033.3,1042.6,1062.5,1142,1162.4,1518.7,1595.8,1692.9,1748.5,1892.2,1897.4,2113.8,2203.2,2371.3,3187.2,4904.2,5738.9
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,0,0.1,0.1,0.1,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.8,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.8,1.9,1.9,2,2,2,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.7,2.9,2.9,2.9,2.9,3.2,3.4,3.5,3.5,3.5,3.5,3.9,4,4,4.1,4.2,4.3,4.5,4.7,4.7,4.8,5.2,5.4,5.6,5.7,5.8,6,6.2,6.3,6.7,7.5,7.5,7.8,8,8.4,9.1,9.5,9.8,10.1,13.1,13.5,14.5,15.9,18.1,21,34.1
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.8,0.9,1,1,1.1,1.2,1.3,1.3,1.3,1.7,1.7,1.7,1.8,1.8,1.9,2,2.1,2.4,2.6,2.6,2.6,2.8,3,3.2,3.2,3.3,3.3,3.4,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.9,3.9,4.1,4.1,4.2,4.2,4.2,4.3,4.4,4.7,4.8,4.9,5.1,5.1,5.2,5.2,5.3,5.4,5.9,6.3,6.9,7.1,7.4,7.6,7.7,8,8.3,8.5,8.6,8.7,9.6,10.1,10.2,10.3,10.8,11.6,13.5,13.7,14.2,14.3,14.5,15.2,16.7,16.8,17.1,23.8,24.7,24.8,25,26.8,27.6,28.2,30.9,45.1,51,162
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
0,0,0.7,1,1.2,1.2,1.3,1.4,1.4,1.6,1.7,2.3,2.4,2.7,2.8,3.1,3.2,3.2,3.8,3.8,4,4.5,4.6,5.5,5.6,5.6,5.7,6.5,6.6,6.6,7.2,7.4,7.5,8.3,8.5,8.5,8.7,9.2,9.2,9.4,10.4,10.7,10.8,11.3,11.7,12.5,12.7,12.8,13.8,14.2,14.2,14.4,14.7,14.9,15.4,15.6,17.6,17.6,17.8,17.9,17.9,19,19.3,19.9,20,20,20.9,21.7,21.8,22.3,22.5,22.9,23.2,23.5,23.6,23.7,26.2,26.6,27,28.3,28.4,29,30.2,30.3,30.9,32.6,33.6,34.5,35,36,38.3,38.7,43.3,45.1,46.7,50,53,68.9,106.2,106.8
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,11,11,11,11,11,12,12,12,12,13,13,14,15,15,15,17,18,32
A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1,1,2,2,2,3,3,3,3,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,13,13,13,14,14,15,15,15,17,18,18,22
