Name,FatContent
Go Patriots Meatballs,0
Texas Chili Powder - Bulk,1.1
Key Lime Fruit Salad,1.3
Corn and Bell Peppers Stuffed Zucchini,1.4
Lower Fat Reuben Bites,1.4
Green Onion Fritters,1.6
Tex-Mex Tostadas (Lower Fat),1.7
Easy Black Bean Soup,1.9
Wild Rice and Turkey Casserole,2
Mutt Meatballs,2.2
Garlicky Mushroom Pakoras,2.3
Low Fat Buffalo Chicken Tenders W/ Blue Cheese Dip,2.5
Roasted Garlic &amp; Spinach Spirals,2.9
Cauliflower With Toasted Mustard Seeds,3.1
Popping Pepper Packs,3.6
Mom's Simple Goulash,3.7
Almond Cookies,4.2
Salmon Canapes,4.3
Southwestern Pinwheels,4.3
Kung Pao Shrimp,4.6
Diabetic Friendly Country Apricot Tart,4.9
Leftover Holiday Ham &amp; Split Pea Soup,5.5
Heartwarming Beef-Barley Soup,6
Chocolate Chocolate Chip Pancakes,6.5
Baked Onions With Thyme,6.8
Harvest Pie,6.8
Skillet Herbed Cabbage,6.9
Black and White Bean Chili,7
Barefoot Contessa's Parmesan Roasted Asparagus,7.1
Crock Pot Curried Split Pea Soup,7.1
Kabocha Salad,7.4
Steak &amp; Pasta,7.5
Cheesy Crab and Broccoli,7.6
Vegetable-Barley Pot Pie / Pies,7.7
Amanda's Delicious Cilantro Potato Salad,8.1
The Best Chocolate Chip Cookies Ever Recipe Courtesy George Dura,8.3
Stuffed Bell Pepper Soup,8.7
Mini Quiche,9.4
Bully Hill Coleslaw,10.2
Almond Amaretto Fudge,12.2
Australian Seafood Platter,12.5
Sweet Potato Cakes,13.1
Barefoot Contessa's Tequila Lime Chicken,13.7
Lentil Rice Dish  (Mujadarah Arabic Dish),14.3
Crossing-Culture Chinese Hoisin Pizza,14.5
Asian Turkey Salad,14.8
Beef Cheese Ball,14.9
Da Best Butter Mochi,15.2
Eastern Chicken Gravy With Rice,15.5
Veggie Cream Cheese Pizza,15.5
Potato Salad With Green Onion and Mustard  Raspberry Vinaigrett,16.6
Dad's Tuna Melt Casserole,17.1
"Vegan Green Garden Puree (For Pizza, Lasagna or Pasta)",17.3
Quick Pasta Supper,17.6
Bleu Cheese Bread,17.9
Sesame Spaghetti Salad,18
Barbecued Beef on Buns,18.3
Tuna Lasagna With  Italian Spiced White Sauce,19.1
Teriyaki Turkey Burgers,19.4
Pina Colada Sherbet,19.7
Bacon Spinach and Cream Potatoes,20
Mom's Dinner Salad,20.4
Mixed Bean Casserole,20.6
Spinach â€“ Creamy Parmesan,21.4
Spicy Bean Stew With Sausages,21.8
Barefoot Contessa's Mashed Potatoes,21.9
Easy French Toast,21.9
A Different Type of Chicken Wing,23.8
Chicken Casadillas,23.9
Italian Casserole (Rigatoni and Cheese With Tomato Sauce),24.1
Aubergine (Eggplant) Curry (2),25.1
Cream of Artichoke Soup With Chervil and Fried Artichokes,27.5
Hot Italian Cheesy Dip,27.9
Lettuce-Wrapped Beef and Pepper Fajitas,28.9
Swedish Pancakes,31.5
Spicy Pulled Pork,31.7
"Beef Stew With Poblanos, Tomatillos, and Potatoes",32.2
Russian Omelet,34.1
Caramel Ice Cream Delight,35.4
Mini Sausage Rolls,36.4
"Scalloped, Not-Too-Cheesy Potatoes",37.6
Baked French Toast Casserole,38.1
Gnocchi Romana,41.3
Baked Potato Soup,42.4
Paglia E Fieno,44.1
Fidget Pie,45.8
Cyprus - Souvlakia - Pork Kebab,47.5
Citrus Glazed Barbecued Pork Loin,50.8
Leek and Potato Tart,52.9
Barefoot Contessa's Sun-Dried Tomato Dip (Light Version),54.4
Garlic Chicken Nuggets,59.8
Zooma's Spiced Pumpkin Cheesecake,62.9
Spinach Salad With Poppy Seed Dressing,75.3
Bulgarian Chushki Burek (Bulgarian Peppers Burek),78.2
Puff Pastry Toasted Sandwiches in Your Sandwich Maker!,94
Feta Cheese Ball,106.3
Calcutta Style Beef Curry,127.7
Smoked Turkey Cheese Ball,133
Cornbread &amp; Sausage Wheel,140
Christmas Bread (Almond-Filled Challah),200.5
