Name,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent
Quick Pasta Supper,512.5,17.6,5.7,57.8,691.3,61.8,4.3,13.7,26.2
Asian Turkey Salad,319.1,14.8,3,79.8,740.1,11.5,3.5,5.2,36
A Different Type of Chicken Wing,453.8,23.8,6.6,113.2,111.1,24.7,0.9,0.3,30.2
Barefoot Contessa's Parmesan Roasted Asparagus,113.6,7.1,2.1,7.3,325.1,7.7,4,3.6,7.4
Leek and Potato Tart,806.2,52.9,28.8,246.3,380.2,62.8,4.8,4.2,22.3
Lentil Rice Dish  (Mujadarah Arabic Dish),266.4,14.3,2,0,13.4,29.3,5.8,4.2,6.6
Sweet Potato Cakes,284.1,13.1,4.5,59.9,148.4,38.3,5.7,8.6,4.5
Garlicky Mushroom Pakoras,134.5,2.3,0.2,0,240.1,20.6,4.2,4.9,8.7
Chicken Casadillas,462.3,23.9,8.6,68.3,715.5,36.8,2.2,1.7,23.7
Cyprus - Souvlakia - Pork Kebab,647.4,47.5,16.4,182.5,127.4,7.7,2.1,4.4,45.1
"Vegan Green Garden Puree (For Pizza, Lasagna or Pasta)",268.9,17.3,2.1,0,59.4,19.3,9.1,5.1,15.4
Paglia E Fieno,900.6,44.1,23.9,209.6,363.9,98.5,9.5,8.7,29
Gnocchi Romana,705.7,41.3,24.5,221.8,776.3,50.5,2.2,0.6,32.6
Puff Pastry Toasted Sandwiches in Your Sandwich Maker!,1202.4,94,34.9,215.1,1692.9,59.7,1.8,2.6,30.3
Barefoot Contessa's Tequila Lime Chicken,276.3,13.7,3.9,92.8,686.9,7.1,0.8,2.6,30.9
Spicy Pulled Pork,426.5,31.7,10.9,110.8,319.2,7.7,1.6,4.2,27
Kung Pao Shrimp,345.4,4.6,0.8,361.8,368.6,24.2,3.5,11.6,53
Bacon Spinach and Cream Potatoes,393.8,20,10.3,54.5,215.2,46.4,7.8,3.3,10.7
Wonder Salad,6386.2,587.9,118.7,192.4,25674.9,251.1,20.3,179.7,67.9
Eastern Chicken Gravy With Rice,456,15.5,10.1,62.4,109.4,58.6,4.5,5.3,21.7
Mutt Meatballs,36.6,2.2,1,16.9,27.8,1.5,0.1,0.2,2.7
Garlic Chicken Nuggets,779.3,59.8,8.9,175.8,215.4,26.2,0.9,0.5,33.6
Australian Seafood Platter,454.2,12.5,2.4,398,1062.5,13.9,2.5,1,68.9
Mom's Simple Goulash,267.2,3.7,1.2,16.2,567.6,46.5,4.7,10.8,14.2
Barefoot Contessa's Mashed Potatoes,400.8,21.9,13.7,56.6,611,47.5,4.1,2,5.6
Mini Quiche,136,9.4,2.7,20.5,90,10.2,0.4,0.4,2.8
Mini Sausage Rolls,457.7,36.4,11.3,82.6,727.6,13.8,0.5,0.6,17.6
Italian Casserole (Rigatoni and Cheese With Tomato Sauce),458.3,24.1,14.5,104.4,727.6,41.7,2.9,5.1,20
Cream of Artichoke Soup With Chervil and Fried Artichokes,427.4,27.5,15,71.3,435.1,39.7,8.4,0.3,9.2
Fidget Pie,747.2,45.8,19.8,176,2203.2,45.7,5.4,13.5,38.7
Swedish Pancakes,510,31.5,18.6,217.6,339.3,42.9,1.3,1.3,13.8
Mom's Dinner Salad,193.5,20.4,2.6,0,290.7,3.5,0,3.2,0
Wild Rice and Turkey Casserole,143.4,2,0.6,72.8,90.9,22.8,1.1,7.6,8.5
Salmon Canapes,106.1,4.3,1.7,32.9,1595.8,10.3,2.9,2.1,8.5
Caramel Ice Cream Delight,565,35.4,16.6,79.5,258.2,57.5,3.2,28.2,7.2
Bully Hill Coleslaw,242.5,10.2,1.5,7.6,232.4,33.9,4,23.8,2.3
Cornbread &amp; Sausage Wheel,2538.9,140,47.9,572.5,5738.9,210.9,13.1,3.9,106.2
Zooma's Spiced Pumpkin Cheesecake,830.6,62.9,32.5,217.1,371.7,61.4,1.6,51,10.4
Crock Pot Curried Split Pea Soup,376.5,7.1,2.4,31.7,70.8,51.7,21,8.5,28.4
Black and White Bean Chili,419.2,7,1.2,0,735.3,75.2,15.9,10.1,20
Feta Cheese Ball,1191.5,106.3,59.3,301.1,2113.8,20,2.4,4.3,43.3
Baked Onions With Thyme,122.5,6.8,1,0,4.4,11.6,1.5,4.8,1
Hot Italian Cheesy Dip,381.7,27.9,13.5,77.2,1897.4,11.8,1.1,6.9,20.9
Stuffed Bell Pepper Soup,149,8.7,3.4,38.6,56.4,6,1.9,3.3,11.7
Southwestern Pinwheels,53,4.3,2.3,11.7,98.6,2.4,0.3,0.3,1.4
Spinach â€“ Creamy Parmesan,297.9,21.4,12.9,61.5,554.7,13.2,7.5,2.6,19
Green Onion Fritters,130.6,1.6,0.3,6.8,399.7,25.1,1.6,0.6,3.8
Russian Omelet,454.7,34.1,18.1,473.6,207.9,19.7,2,1.8,17.9
Chocolate Chocolate Chip Pancakes,133.3,6.5,3.7,2,119.6,20.8,2.5,10.2,2.4
Corn and Bell Peppers Stuffed Zucchini,34.8,1.4,0.2,0,43.4,5.6,1.2,1.2,1.3
Baked Potato Soup,771.6,42.4,19.8,96.3,1142,71.2,6,3.5,28.3
Easy Black Bean Soup,255.7,1.9,0.6,1.4,741.3,43.8,14.5,3.5,17.8
Leftover Holiday Ham &amp; Split Pea Soup,280.5,5.5,1.9,25.5,239.6,38.9,13.5,5.9,19.9
Go Patriots Meatballs,19.9,0,0,0,2.2,5.2,0.1,3.8,0
Sesame Spaghetti Salad,397.8,18,2.5,0,1042.6,49.1,3.9,3.4,10.8
Amanda's Delicious Cilantro Potato Salad,195.2,8.1,1.2,6.1,658.7,29.3,2.7,4.1,3.2
Veggie Cream Cheese Pizza,277,15.5,6.4,50.7,459.6,28.6,2.3,3.2,6.5
Spicy Bean Stew With Sausages,445.4,21.8,4.9,55.2,903.7,40.8,10.1,8.3,23.6
Kabocha Salad,88.7,7.4,1,4.8,130.8,5,0.3,1.3,0.7
Almond Amaretto Fudge,226.5,12.2,6.7,9,44.8,30.2,2.2,26.8,4
Spinach Salad With Poppy Seed Dressing,817.6,75.3,19,64.7,1033.3,19.6,2.5,14.2,17.9
Smoked Turkey Cheese Ball,1340.1,133,55.4,260.9,984.9,24.1,5.2,5.4,22.5
Texas Chili Powder - Bulk,28.8,1.1,0.2,0,565,5.2,2,1,1.2
Potato Salad With Green Onion and Mustard  Raspberry Vinaigrett,259.8,16.6,1.2,0,27.4,26.1,3.5,1.7,3.2
Cheesy Crab and Broccoli,187.2,7.6,4.1,27,535.3,17.3,2.9,1.7,14.2
Tuna Lasagna With  Italian Spiced White Sauce,394.1,19.1,11,101.4,584.4,31,1.1,3.7,23.5
Barefoot Contessa's Sun-Dried Tomato Dip (Light Version),609.7,54.4,23.9,127.3,1892.2,17.4,1.5,3,14.7
"Scalloped, Not-Too-Cheesy Potatoes",533.5,37.6,23.3,135.3,227.8,40,4.7,1.9,11.3
Vegetable-Barley Pot Pie / Pies,300.9,7.7,1.9,1.2,485.3,51.2,6.7,4.1,9.2
Teriyaki Turkey Burgers,330.2,19.4,4,94.8,773.9,15.5,1.4,3.6,23.2
Barbecued Beef on Buns,281,18.3,7.2,62.6,646.7,11.2,0.5,9.6,17.6
Steak &amp; Pasta,213.3,7.5,2.9,46.2,300.4,14.6,2.6,7.1,19.3
Aubergine (Eggplant) Curry (2),320.9,25.1,18.8,5.3,183.7,24.4,6.2,7.4,5.5
Cauliflower With Toasted Mustard Seeds,168.1,3.1,0.3,1.8,157.1,25.6,7.5,15.2,12.8
Diabetic Friendly Country Apricot Tart,143.4,4.9,2.8,11.6,119.7,22.6,2,6.3,3.1
Easy French Toast,506.5,21.9,11,320.1,542.6,61.4,1.7,25,15.6
Skillet Herbed Cabbage,86.1,6.9,0.9,0,310.2,6.1,2.5,3.8,1.6
Calcutta Style Beef Curry,1229.4,127.7,54.3,186,1518.7,4.8,1.3,1.3,14.9
Pina Colada Sherbet,335.8,19.7,17.3,0,56.8,32.6,3.4,27.6,3.8
Low Fat Buffalo Chicken Tenders W/ Blue Cheese Dip,107.9,2.5,1.2,37.9,360.1,6.6,1.2,2.8,14.4
Heartwarming Beef-Barley Soup,241.9,6,2.5,56.1,568.2,26.2,6.3,5.2,22.9
Lower Fat Reuben Bites,52.1,1.4,0.6,14.1,246.7,4.1,0.4,2.4,5.6
Baked French Toast Casserole,594.1,38.1,17.9,239.3,503.4,52.6,2.5,24.7,12.5
Bleu Cheese Bread,256,17.9,5.2,13.2,553.6,18.2,0.8,1.1,5.7
Roasted Garlic &amp; Spinach Spirals,168.3,2.9,0.7,0,228.4,29.4,3.5,0.8,6.6
Tex-Mex Tostadas (Lower Fat),136.7,1.7,0.5,50.8,272.5,8.6,1.9,3.9,21.8
Popping Pepper Packs,177.6,3.6,1.6,8,385.5,33.3,9.8,14.3,8.3
Almond Cookies,97.7,4.2,2.1,18.3,94.3,13.9,0.4,8,1.4
Christmas Bread (Almond-Filled Challah),4489.5,200.5,26,544.4,4904.2,575.7,34.1,162,106.8
Da Best Butter Mochi,558.8,15.2,8.5,108.6,260.9,95.9,1.5,45.1,9.4
Bulgarian Chushki Burek (Bulgarian Peppers Burek),1139.6,78.2,27,375.6,2371.3,73.3,8,16.8,38.3
Crossing-Culture Chinese Hoisin Pizza,316.8,14.5,6.8,80,768,19.4,2.2,10.3,26.6
Key Lime Fruit Salad,92.1,1.3,1,0,15.6,21.2,2.2,17.1,1.2
Dad's Tuna Melt Casserole,249.6,17.1,7.7,29.5,1162.4,11.4,0,1.8,12.7
Harvest Pie,242.8,6.8,1.6,0.6,124.9,43.1,2.6,24.8,4.6
The Best Chocolate Chip Cookies Ever Recipe Courtesy George Dura,171.2,8.3,5,25.3,108.9,24.2,0.8,16.7,1.7
Beef Cheese Ball,173.6,14.9,9,58.3,510.4,2.9,0.1,0.9,7.5
Lettuce-Wrapped Beef and Pepper Fajitas,445.4,28.9,11.3,116.1,597.1,11.5,2.9,4.7,34.5
"Beef Stew With Poblanos, Tomatillos, and Potatoes",609,32.2,12.1,118,651.9,42,5.6,7.7,35
Mixed Bean Casserole,673.2,20.6,7.7,112.3,1748.5,75.7,18.1,14.5,50
