Name,SugarContent
Mutt Meatballs,0.2
A Different Type of Chicken Wing,0.3
Cream of Artichoke Soup With Chervil and Fried Artichokes,0.3
Southwestern Pinwheels,0.3
Mini Quiche,0.4
Garlic Chicken Nuggets,0.5
Gnocchi Romana,0.6
Mini Sausage Rolls,0.6
Green Onion Fritters,0.6
Roasted Garlic &amp; Spinach Spirals,0.8
Beef Cheese Ball,0.9
Australian Seafood Platter,1
Texas Chili Powder - Bulk,1
Bleu Cheese Bread,1.1
Corn and Bell Peppers Stuffed Zucchini,1.2
Swedish Pancakes,1.3
Kabocha Salad,1.3
Calcutta Style Beef Curry,1.3
Chicken Casadillas,1.7
Potato Salad With Green Onion and Mustard  Raspberry Vinaigrett,1.7
Cheesy Crab and Broccoli,1.7
Russian Omelet,1.8
Dad's Tuna Melt Casserole,1.8
"Scalloped, Not-Too-Cheesy Potatoes",1.9
Barefoot Contessa's Mashed Potatoes,2
Salmon Canapes,2.1
Lower Fat Reuben Bites,2.4
Puff Pastry Toasted Sandwiches in Your Sandwich Maker!,2.6
Barefoot Contessa's Tequila Lime Chicken,2.6
Spinach â€“ Creamy Parmesan,2.6
Low Fat Buffalo Chicken Tenders W/ Blue Cheese Dip,2.8
Barefoot Contessa's Sun-Dried Tomato Dip (Light Version),3
Mom's Dinner Salad,3.2
Veggie Cream Cheese Pizza,3.2
Bacon Spinach and Cream Potatoes,3.3
Stuffed Bell Pepper Soup,3.3
Sesame Spaghetti Salad,3.4
Baked Potato Soup,3.5
Easy Black Bean Soup,3.5
Barefoot Contessa's Parmesan Roasted Asparagus,3.6
Teriyaki Turkey Burgers,3.6
Tuna Lasagna With  Italian Spiced White Sauce,3.7
Go Patriots Meatballs,3.8
Skillet Herbed Cabbage,3.8
Cornbread &amp; Sausage Wheel,3.9
Tex-Mex Tostadas (Lower Fat),3.9
Amanda's Delicious Cilantro Potato Salad,4.1
Vegetable-Barley Pot Pie / Pies,4.1
Leek and Potato Tart,4.2
Lentil Rice Dish  (Mujadarah Arabic Dish),4.2
Spicy Pulled Pork,4.2
Feta Cheese Ball,4.3
Cyprus - Souvlakia - Pork Kebab,4.4
Lettuce-Wrapped Beef and Pepper Fajitas,4.7
Baked Onions With Thyme,4.8
Garlicky Mushroom Pakoras,4.9
"Vegan Green Garden Puree (For Pizza, Lasagna or Pasta)",5.1
Italian Casserole (Rigatoni and Cheese With Tomato Sauce),5.1
Asian Turkey Salad,5.2
Heartwarming Beef-Barley Soup,5.2
Eastern Chicken Gravy With Rice,5.3
Smoked Turkey Cheese Ball,5.4
Leftover Holiday Ham &amp; Split Pea Soup,5.9
Diabetic Friendly Country Apricot Tart,6.3
Hot Italian Cheesy Dip,6.9
Steak &amp; Pasta,7.1
Aubergine (Eggplant) Curry (2),7.4
Wild Rice and Turkey Casserole,7.6
"Beef Stew With Poblanos, Tomatillos, and Potatoes",7.7
Almond Cookies,8
Spicy Bean Stew With Sausages,8.3
Crock Pot Curried Split Pea Soup,8.5
Sweet Potato Cakes,8.6
Paglia E Fieno,8.7
Barbecued Beef on Buns,9.6
Black and White Bean Chili,10.1
Chocolate Chocolate Chip Pancakes,10.2
Crossing-Culture Chinese Hoisin Pizza,10.3
Mom's Simple Goulash,10.8
Kung Pao Shrimp,11.6
Fidget Pie,13.5
Quick Pasta Supper,13.7
Spinach Salad With Poppy Seed Dressing,14.2
Popping Pepper Packs,14.3
Mixed Bean Casserole,14.5
Cauliflower With Toasted Mustard Seeds,15.2
The Best Chocolate Chip Cookies Ever Recipe Courtesy George Dura,16.7
Bulgarian Chushki Burek (Bulgarian Peppers Burek),16.8
Key Lime Fruit Salad,17.1
Bully Hill Coleslaw,23.8
Baked French Toast Casserole,24.7
Harvest Pie,24.8
Easy French Toast,25
Almond Amaretto Fudge,26.8
Pina Colada Sherbet,27.6
Caramel Ice Cream Delight,28.2
Citrus Glazed Barbecued Pork Loin,30.9
Da Best Butter Mochi,45.1
Zooma's Spiced Pumpkin Cheesecake,51
Christmas Bread (Almond-Filled Challah),162
