Name,CookTime,PrepTime,TotalTime,RecipeIngredientParts
A Different Type of Chicken Wing,15,20,35,6
Almond Amaretto Fudge,300,5,305,3
Almond Cookies,0,60,60,9
Asian Turkey Salad,0,10,10,14
Aubergine (Eggplant) Curry (2),20,10,30,12
Australian Seafood Platter,0,20,20,8
Bacon Spinach and Cream Potatoes,15,15,30,6
Baked French Toast Casserole,12,30,42,10
Baked Onions With Thyme,50,5,55,7
Baked Potato Soup,5,30,35,9
Barbecued Beef on Buns,235,25,260,12
Barefoot Contessa's Mashed Potatoes,20,25,45,6
Barefoot Contessa's Parmesan Roasted Asparagus,20,10,30,8
Barefoot Contessa's Sun-Dried Tomato Dip (Light Version),0,10,10,7
Barefoot Contessa's Tequila Lime Chicken,20,20,40,7
Beef Cheese Ball,5,10,15,5
"Beef Stew With Poblanos, Tomatillos, and Potatoes",120,30,150,18
Black and White Bean Chili,30,10,40,10
Bleu Cheese Bread,10,5,15,3
Bulgarian Chushki Burek (Bulgarian Peppers Burek),15,35,50,17
Bully Hill Coleslaw,240,30,270,5
Calcutta Style Beef Curry,50,10,60,15
Caramel Ice Cream Delight,20,20,40,6
Cauliflower With Toasted Mustard Seeds,15,15,30,7
Cheesy Crab and Broccoli,20,10,30,9
Chicken Casadillas,10,10,20,4
Chocolate Chocolate Chip Pancakes,15,5,20,1
Corn and Bell Peppers Stuffed Zucchini,15,8,23,10
Cornbread &amp; Sausage Wheel,20,20,40,8
Cream of Artichoke Soup With Chervil and Fried Artichokes,50,30,80,6
Crock Pot Curried Split Pea Soup,0,25,25,10
Crossing-Culture Chinese Hoisin Pizza,10,30,40,8
Cyprus - Souvlakia - Pork Kebab,45,30,75,5
Da Best Butter Mochi,90,20,110,5
Dad's Tuna Melt Casserole,30,10,40,2
Diabetic Friendly Country Apricot Tart,40,30,70,15
Eastern Chicken Gravy With Rice,20,15,35,10
Easy Black Bean Soup,10,5,15,8
Easy French Toast,22,10,32,9
Feta Cheese Ball,120,10,130,7
Fidget Pie,45,20,65,9
Garlic Chicken Nuggets,10,15,25,5
Garlicky Mushroom Pakoras,15,20,35,9
Gnocchi Romana,45,75,120,7
Go Patriots Meatballs,40,10,50,1
Green Onion Fritters,18,10,28,2
Harvest Pie,60,45,105,10
Heartwarming Beef-Barley Soup,75,25,100,13
Hot Italian Cheesy Dip,60,20,80,3
Italian Casserole (Rigatoni and Cheese With Tomato Sauce),50,10,60,10
Kabocha Salad,2,11,13,5
Key Lime Fruit Salad,0,15,15,5
Kung Pao Shrimp,0,30,30,4
Leek and Potato Tart,80,20,100,12
Leftover Holiday Ham &amp; Split Pea Soup,90,15,105,14
Lentil Rice Dish  (Mujadarah Arabic Dish),25,10,35,9
Lettuce-Wrapped Beef and Pepper Fajitas,15,10,25,10
Low Fat Buffalo Chicken Tenders W/ Blue Cheese Dip,15,35,50,5
Lower Fat Reuben Bites,10,10,20,2
Mini Quiche,15,15,30,6
Mini Sausage Rolls,25,15,40,6
Mixed Bean Casserole,30,10,40,7
Mom's Dinner Salad,0,10,10,12
Mom's Simple Goulash,30,15,45,8
Mutt Meatballs,20,20,40,6
Paglia E Fieno,10,10,20,6
Pina Colada Sherbet,480,20,500,3
Popping Pepper Packs,0,20,20,8
Potato Salad With Green Onion and Mustard  Raspberry Vinaigrett,15,20,35,7
Puff Pastry Toasted Sandwiches in Your Sandwich Maker!,10,10,20,10
Quick Pasta Supper,20,15,35,10
Roasted Garlic &amp; Spinach Spirals,45,15,60,6
Russian Omelet,5,5,10,5
"Scalloped, Not-Too-Cheesy Potatoes",180,45,225,8
Sesame Spaghetti Salad,5,20,25,6
Skillet Herbed Cabbage,10,10,20,7
Smoked Turkey Cheese Ball,0,10,10,5
Southwestern Pinwheels,0,30,30,6
Spicy Bean Stew With Sausages,30,20,50,15
Spicy Pulled Pork,360,15,375,8
Spinach â€“ Creamy Parmesan,10,20,30,4
Spinach Salad With Poppy Seed Dressing,480,15,495,10
Steak &amp; Pasta,180,15,195,12
Stuffed Bell Pepper Soup,30,20,50,10
Swedish Pancakes,0,20,20,7
Sweet Potato Cakes,50,20,70,6
Teriyaki Turkey Burgers,10,10,20,6
Texas Chili Powder - Bulk,0,1,1,7
Tex-Mex Tostadas (Lower Fat),10,20,30,10
The Best Chocolate Chip Cookies Ever Recipe Courtesy George Dura,15,20,35,9
Tuna Lasagna With  Italian Spiced White Sauce,45,15,60,18
"Vegan Green Garden Puree (For Pizza, Lasagna or Pasta)",15,15,30,9
Vegetable-Barley Pot Pie / Pies,20,30,50,13
Veggie Cream Cheese Pizza,10,20,30,7
Wild Rice and Turkey Casserole,55,15,70,8
Wonder Salad,0,45,45,9
Zooma's Spiced Pumpkin Cheesecake,120,60,180,22
